year,rank,artist,song
2016,1,Animal Kingdom,Strange Attractor
2016,2,Duologue,Forests
2016,3,On An On,Drifting (RAC Mix)
2016,4,Me Like Bees,The Ides
2016,5,Santigold,I'm A Lady
2016,6,Nathan Johnson With the Cinematic Underground,Penelope's Theme
2016,7,Me Like Bees,Naked Trees
2016,8,LP,Into The Wild
2016,9,Joep Beving,Zoetrope
2016,10,Balmorhea,Truth - Helios Remix
2016,11,Wildcat! Wildcat!,Garden Grays
2016,12,Iron & Wine,Boy With a Coin
2016,13,Crystal Fighters,At Home
2016,14,ODESZA,Something About You - ODESZA Remix
2016,15,GROUPLOVE,Welcome To Your Life
2016,16,Grimes,California
2016,17,Japanese Wallpaper,Breathe In
2016,18,G,Outer Space
2016,19,Message To Bears,Wake Me
2016,20,Melanie Martinez,Soap
2016,21,Moderat,A New Error
2016,22,Absofacto,Dissolve
2016,23,Gem Club,Twins
2016,24,Metric,The Void
2016,25,Little May,Hide
2016,26,Humans,avec mes mecs
2016,27,Sjowgren,Seventeen
2016,28,The Album Leaf,Window
2016,29,Computer Magic,Fuzz
2016,30,Phantogram,Don't Move
2016,31,Caravan Palace,Midnight
2016,32,The Album Leaf,The Light
2016,33,School of Seven Bells,Secret Days
2016,34,Tim Legend,Hope
2016,35,Kettel,Twinkle Twinkle
2016,36,soupandreas,JSYK
2016,37,Tycho,Epigram
2016,38,STRFKR,Tape Machine
2016,39,Rubblebucket,Carousel Ride
2016,40,Siktransit,Sometimes we Dance
2016,41,Kaki King,Great Round Burn
2016,42,Lavender Diamond,I Don't Recall
2016,43,Ivan & Alyosha,Running for Cover
2016,44,MOGUAI,Hold On
2016,45,Grizfolk,Hymnals - RAC Mix
2016,46,MTNS,Fears
2016,47,Metric,Breathing Underwater
2016,48,Youth Lagoon,17
2016,49,STRFKR,Rawnald Gregory Erickson the Second
2016,50,Snakadaktal,Dance Bear
2016,51,Porter Robinson,Divinity - ODESZA Remix
2016,52,mum,Toothwheels
2016,53,Phantogram,You Don't Get Me High Anymore
2016,54,World's End Girlfriend,Storytelling
2016,55,dana falconberry,Palmless
2016,56,Cicada,Drizzling
2016,57,Jon Hopkins,Candles
2016,58,The Flashbulb,Tomorrow Untrodden
2016,59,Oliver Tank,Last Night I Heard Everything in Slow Motion
2016,60,Oberhofer,I Could Go
2016,61,Glass Animals,Gooey
2016,62,Hot As Sun,Mother I'm Alive
2016,63,Jon Hopkins,Campfire
2016,64,Kasbo,World Away
2016,65,Imogen Heap,Climb to Sakteng
2016,66,Moderat,Bad Kingdom
2016,67,Au Revoir Simone,Tell Me (Clock Opera Remix)
2016,68,Phantogram,Bill Murray
2016,69,Phoenix,1901
2016,70,Sombear,Incredibly Still
2016,71,East Forest,Light Box
2016,72,Metric,Help I'm Alive
2016,73,Anya Marina,Move You (SSSPII)
2016,74,Joep Beving,Sleeping Lotus
2016,75,Pomplamoose,I'm the Shit
2016,76,The Octopus Project,Porno Disaster
2016,77,Imogen Heap,Me the Machine
2016,78,Kye Kye,Broke
2016,79,Bad Books,Forest Whitaker
2016,80,El Ten Eleven,My Only Swerving
2016,81,The Cinematic Orchestra,That Home
2016,82,Virtual Boy,The Future Holds a Beat
2016,83,Agnes Obel,Just So
2016,84,Other Lives,Tamer Animals
2016,85,ODESZA,How Did I Get Here
2016,86,Zero 7,Swing
2016,87,Alpine,Gasoline - Intro
2016,88,Jon Hopkins,Small Memory
2016,89,Feist,How Come You Never Go There - Beck Remix
2016,90,Dr. Toast,Book of Ingenious Devices
2016,91,The Maccabees,Toothpaste Kisses
2016,92,Lorde,Buzzcut Season
2016,93,machineheart,Circles
2016,94,Bibio,A tout a l'heure
2016,95,Helios,Halving The Compass
2016,96,Metric,The Shade
2016,97,Inf,"Power Moves, Baby"
2016,98,Khoiba,Pathetic
2016,99,ODESZA,IPlayYouListen
2016,100,Mr Little Jeans,Waking Up
2016,101,Arthur Beatrice,Grand Union
2017,1,Daughter,How
2017,2,Marika Hackman,Drown
2017,3,Beach House,Master Of None
2017,4,BOBBY,Sore Spores
2017,5,Marika Hackman,Bath Is Black
2017,6,Sylvan Esso,Sound
2017,7,Mounika.,Cut My Hair
2017,8,Jon Hopkins,Abandon Window
2017,9,Lusine,Ticking Hands
2017,10,Phantogram,Take Me Home
2017,11,ODESZA,Just A Memory
2017,12,Daughter,Burn It Down
2017,13,The Eastern Sea,The Match
2017,14,Sjowgren,Now & Then
2017,15,Daughter,Doing The Right Thing
2017,16,Jean-Michel Blais,Il
2017,17,Phantogram,Answer
2017,18,Pascal Pinon,Orange
2017,19,Sylvan Esso,Slack Jaw
2017,20,Declan McKenna,Brazil
2017,21,Mounika.,Love You Sweet It's What I Do
2017,22,Lucius,Two of Us on the Run
2017,23,Phantogram,You're Mine
2017,24,Cage The Elephant,Trouble
2017,25,Daughter,Winter
2017,26,Peter and Kerry,Knees
2017,27,Rilo Kiley,Silver Lining
2017,28,"Now, Now",SGL
2017,29,Rival Consoles,Recovery
2017,30,Sufjan Stevens,Futile Devices
2017,31,Emily Haines & The Soft Skeleton,Reading In Bed
2017,32,The Abbasi Brothers,Clouds Are Sleeping
2017,33,ODESZA,Intro
2017,34,Slidecamp,Geometer
2017,35,The Naked And Famous,Higher - RAC Mix
2017,36,Lusine,Slow Motion
2017,37,Yann Tiersen,La valse d'Amelie - Version orchestre
2017,38,Phoenix,Armistice
2017,39,Mirah,Oxen Hope
2017,40,Gregory and the Hawk,For the Best
2017,41,Joep Beving,Hanging D
2017,42,ODESZA,For Us
2017,43,Cosmo Sheldrake,Rich
2017,44,Eisley,Louder Than a Lion
2017,45,Lusine,Flyway
2017,46,El Ten Eleven,Unusable Love
2017,47,L'Imperatrice,Agitations tropicales - Version acoustique
2017,48,Cosmo Sheldrake,The Moss
2017,49,flor,back again
2017,50,ODESZA,Show Me
2017,51,Sylvan Esso,Die Young
2017,52,Morly,Plucky
2017,53,Little Dragon,Ritual Union
2017,54,Andrew Applepie,Hit the Gas
2017,55,Kate Havnevik,MYYM
2017,56,Flux Pavilion,Pull the Trigger
2017,57,Phantogram,Destroyer
2017,58,Dark Dark Dark,Daydreaming
2017,59,Kaki King,Montreal
2017,60,Gorillaz,All Alone
2017,61,The New Division,Pride
2017,62,Daughter,Mothers
2017,63,Alpine,Jellyfish
2017,64,Sylvan Esso,Just Dancing
2017,65,Animal Kingdom,Strange Attractor
2017,66,Jakey,Cafeteria
2017,67,Rhian Sheehan,Storm Cloud
2017,68,Cash+David,Funn
2017,69,Pilote,Shapeshifter Blues
2017,70,Sir Sly,Witches
2017,71,Kettel,Leraine
2017,72,Generationals,Put a Light On
2017,73,Deastro,Light Powered
2017,74,The Beatles,Rocky Raccoon
2017,75,Guster,Satellite - JordanXL Remix
2017,76,Nathan Johnson With the Cinematic Underground,Penelope's Theme
2017,77,Daughter,Human
2017,78,Sufjan Stevens,Chicago
2017,79,Katie Herzig,Jack and Jill
2017,80,Yeah Yeah Yeahs,Maps
2017,81,Petit Biscuit,Sunset Lover
2017,82,Tycho,Epigram
2017,83,DJ Shadow,Scale It Back - Robotaki Remix
2017,84,Sufjan Stevens,The Only Thing
2017,85,The Lumineers,Ophelia
2017,86,Dustin O'Halloran,"An Ending, a Beginning"
2017,87,Dusty Brown,This City Is Killing Me
2017,88,TV On The Radio,Will Do
2017,89,Lewis Del Mar,Painting (Masterpiece)
2017,90,Pavel Dovgal,Faust
2017,91,Kishi Bashi,Pretend You're Not Lost
2017,92,Arcade Fire,Sprawl II (Mountains Beyond Mountains)
2017,93,UTAH,One Million
2017,94,Say Lou Lou,Fool of Me
2017,95,Stealing Sheep,Shut Eye
2017,96,Maps & Atlases,Solid Ground
2017,97,Metric,Love Is A Place
2017,98,Flight Facilities,Arty Boy
2017,99,Funeral Suits,All Those Friendly People
